0_N,0_P,1_N,1_P,2_N,2_P,3_N,3_P,4_N,4_P,5_N,5_P,6_N,6_P,7_N,7_P,8_N,8_P,9_N,9_P
ANKRD30A,0.0,MAPK10,0.0,NALF1,7.592004386054712e-305,GJB6,0.0,AUTS2,1.721108436836393e-262,FAM229A,0.0,C1QTNF3,0.0,ZCWPW1,1.3065008767506035e-228,ERBB4,1.032e-320,MALAT1,7.430608806001186e-141
LOC100506207,0.0,SPAG16,0.0,NRG3,1.0805300282418918e-295,IQCM,0.0,STAG1,1.0845327745661913e-183,CCDC168,0.0,CRB1,0.0,MIR4713HG,5.7049404620472296e-189,DIAPH2,4.6587700837132134e-302,IGFBP7,2.3591263438646696e-82
STRBP,0.0,CNBD1,0.0,PARD3,5.748693684845134e-281,CNBD1,0.0,RERE,7.981070230345475e-170,LOC730098,0.0,CCDC38,0.0,TNFAIP8L3,4.279090284528352e-186,NEAT1,1.0720493931505554e-273,TSHZ2,3.4153035016719373e-72
RFX4,0.0,KCNT2,0.0,NLGN1,1.334202253579173e-251,CCSER1,0.0,UBE2E2,2.006996672980637e-164,GOLGA6L7,1.933580519818862e-308,ANKRD30B,0.0,RAD51AP2,7.851638532160582e-164,CARMIL1,1.870661207260594e-269,EBF1,1.4391907643583512e-69
LOC105376107,0.0,GOLGA6L2,0.0,MTUS2,5.192194159917734e-248,TSBP1,0.0,HELLS,7.624706313970122e-153,C20orf144,2.9137068869615963e-289,ZNF385D,4.107925132343702e-306,AUTS2,1.2710881538600433e-161,ZBTB20,1.5871587051864494e-272,RBMS3,1.4820569009512585e-69
CCDC144A,0.0,LOC105372004,0.0,CNTN4,3.516220534561468e-234,SLC44A5,0.0,SMC1B,3.1195015517898777e-152,FAM186A,2.4913373188023307e-286,STRBP,2.5862073016676906e-308,STAG1,1.843879440961625e-155,MALAT1,2.039543912102227e-293,MIR99AHG,6.359362153813066e-67
ANKRD36C,0.0,TTC29,0.0,CALN1,3.582069900042446e-228,GOLGA6L2,0.0,SPIDR,3.1457551653742594e-151,LOC101928012,2.5639101574789425e-281,ANKRD62,7.186609441220345e-305,CCDC73,1.5500010342604305e-143,CTNNA2,6.426860906784172e-260,ZBTB20,2.4170714698966354e-64
ANKRD62,0.0,WDR41,0.0,MEF2C-AS1,9.369290752474874e-219,COL25A1,4.02807965844e-313,JMJD1C,3.226829094603208e-150,PPP2R2B,4.575502992509389e-286,MIR548A1HG,5.588944606017157e-295,TTC28,2.0943924852672886e-138,NCOA2,6.422972817000618e-250,NEAT1,1.287643463309182e-63
MLLT10,0.0,FRMD5,1.38077e-319,N6AMT1,1.4711108322098028e-214,STXBP5-AS1,2.8859978654e-314,GPHN,1.0377446492364322e-143,ERICH2,7.004131236567093e-266,POLK,5.133507018929625e-295,SMC1B,1.28537851992608e-135,BBX,4.280941550185598e-247,BNC2,1.5396598121284664e-60
DPY19L2,0.0,PACRG,1.2123855308623959e-301,BMPR1B,2.3024910392233785e-213,CCDC91,2.5016797916180802e-307,B3GALT1,4.0601339162501575e-142,PFN3,3.055974697260448e-260,ANKRD30A,2.5263652565281876e-296,AGBL4,4.641567562889144e-137,GPC5,1.6460998996103873e-235,LAMA2,7.053595903609146e-58
