0_N,0_P,1_N,1_P,2_N,2_P,3_N,3_P,4_N,4_P,5_N,5_P,6_N,6_P,7_N,7_P,8_N,8_P
amplicon-chrX-GAGE10/1/2A/13/12B/12C/12D/12E/12F/12G/12H/12J,5.013863925787502e-82,FAM229A,9.22430704720843e-102,LINC01000,5.670209388230211e-172,SYCP1,6.2445465231431575e-59,OBSL1,5.4301760898141517e-76,C5orf58,1.237656343958709e-98,SLC38A9,8.129480388539837e-37,MALAT1,4.221460116901969e-26,MIR202HG,5.748747497466314e-35
NF1,2.7003987166392228e-76,LOC730098,6.167361145993254e-81,FAM229A,9.318226882390522e-159,ZCWPW1,3.4089013631653507e-54,RBAKDN,1.0456253002036587e-69,COX7A2,1.2927074671231435e-94,NRG3,4.2393954480830025e-33,B2M,2.941243155480439e-22,ERBB4,1.4093330267958967e-31
ABCC1,3.245137319577573e-74,CLDND2,8.972045582496907e-73,C20orf144,3.388679669974599e-137,SYCP3,4.2164739165899935e-53,RBAK-RBAKDN,1.0456253002036587e-69,GIHCG,4.658086307161359e-87,GRIP1,1.1963245824226832e-30,TSHZ2,1.734042612882517e-17,KIAA1217,2.4125642567097515e-31
CALN1,6.604189899132635e-72,DKKL1,9.579187718029374e-72,TMEM191B,2.532744343439337e-123,RAD51AP2,2.0128607113717857e-49,COX6C,3.0224684003010772e-65,ANKRD30A,1.278721159438547e-81,NKAIN2,4.3956168165447346e-30,INSL3,2.6318031477113035e-17,CLU,2.3967296622613414e-23
AUTS2,6.387294772352525e-70,NELL1,1.2047084765901522e-70,PFN3,7.170733168661457e-122,DMRTC2,5.955662913520733e-48,SPINK2,2.19008191440111e-61,FAM153A,2.818110151477426e-79,CNTNAP2,3.658191927420775e-30,APOE,2.5532195406504197e-16,MIR924HG,1.6744093933111848e-22
MTUS2,1.7236713392735374e-60,CNBD1,8.58816797464891e-68,LOC401357,7.009223360696016e-117,LOC105373554,1.1712888021175671e-44,LOC730098,1.16594289878885e-57,KRBOX1,9.828974005671424e-80,LOC107984294,2.813929435814082e-29,MIR99AHG,2.99062234105753e-16,CARMIL1,1.2359080626906875e-21
JMJD1C,4.148342443159495e-60,COL25A1,9.2625184853412e-67,PRM3,1.607512347623639e-107,AGBL4,1.1485178270128458e-43,LOC105372835,2.3044726017776773e-47,STRBP,5.970113124380292e-78,LINC02096,8.713648936723538e-29,GSTA1,3.1097125004060383e-16,ABCA8,1.755207207829106e-21
LOC105369896,6.841881900495681e-59,PLCZ1,5.0580673116759536e-67,LINC00999,4.2326729239263384e-101,LINC01572,2.1300594470171264e-43,MRPL33,6.404739045608521e-38,RPL39L,9.967305142002142e-76,PTPRD,1.0015851884644969e-26,NEAT1,1.5775141458453956e-14,SYNE2,1.0766317777063238e-20
LOC107986487,9.098706641252138e-58,EQTN,3.1277717719905438e-65,DRICH1,6.719498101116581e-91,MEIOB,8.414454835701794e-42,NDUFAF3,2.3395212041048378e-36,COX7C,4.622415674157462e-75,FAM189A1,3.217790472626043e-25,FTL,1.2885696292711008e-13,FHOD3,8.270950795611675e-20
PCDH15,2.7722828667614315e-58,RBAKDN,5.680675122313774e-70,HMGB4,2.639992356095607e-91,TEX101,1.4173748192644388e-41,MRPL41,5.266370073152843e-36,LINC01507,1.8354676253159827e-73,GALNT17,8.632442616388413e-24,HLA-B,1.502787462138134e-13,ARL15,9.145730405278808e-20
PARN,1.648661596439107e-56,RBAK-RBAKDN,7.836711354357169e-70,SCP2D1,2.7580894396858404e-87,C5orf58,1.8247674948273655e-42,CT75,3.5772058125443453e-35,AP4B1-AS1,1.2020534354497986e-72,NCAM2,2.1460173379461865e-22,TMSB4X,1.6232039327742785e-13,DCAF8L2,2.9239863648110417e-19
CST3,3.8643888015516794e-54,PSD3,2.4768217600752344e-65,SPATA42,1.9314125970188806e-86,ATRNL1,7.645235842664775e-41,LRRIQ1,4.6739613265511126e-34,ATP5IF1,3.131213209169501e-72,LOC105376755,3.1767077035616846e-22,LPP,3.0211685386745325e-13,MAN2A1,3.803618650047467e-19
SPIDR,5.010914018261385e-53,PTTG1IP2,1.400473775675715e-64,ERICH2,8.076206057521977e-85,RPL21,3.0562192587787083e-40,KCNK4-TEX40,7.75010081744739e-34,ANKRD7,5.263030379487791e-72,BMPR1B,7.866890895857611e-22,NR2F2-AS1,3.7602111859576756e-13,COL1A2,4.021196152872778e-19
PTMA,2.5949941625879694e-52,LOC105375461,2.5435968239535102e-64,TMEM190,1.3678603745379662e-83,LINC01794,1.2371709718368289e-38,CATSPERZ,1.7063735605708134e-33,COPRS,6.649426657142806e-72,CALN1,9.636324453356323e-22,ZBTB20,1.146974350370303e-12,QKI,8.047823373838564e-19
LOC339975,9.32951519275913e-52,H2AC18,8.24782072679781e-62,H1-7,1.7460920789246284e-83,HORMAD1,1.5622627652342746e-38,ANTKMT,3.4599546763597143e-32,C15orf48,2.2394287242421458e-69,CTNNA3,1.828499331357383e-21,EBF1,2.145737998835749e-12,SPARC,8.577679965657386e-19
LOC105376131,3.6015999206077705e-51,FAM24A,2.3734232039946045e-61,CCDC168,4.22338898147479e-81,SMC1B,1.8044125245572307e-38,HDAC4-AS1,5.13712811985105e-32,H2AZ1,2.221601592100085e-69,NALF1,1.914628534751184e-21,PRPS2,7.79572114480232e-12,DIAPH2,1.1231947530416859e-18
LOC105372004,2.615058649001181e-51,TEX51,1.1598780739900296e-61,SPTY2D1OS,3.273984277377392e-77,CCDC73,1.025909547161381e-36,DKKL1,6.439482059029699e-32,IZUMO4,2.007102317050466e-67,MTUS2,2.960432741739344e-21,HSD17B6,4.0419988740683726e-11,SLC25A21,1.188945422726936e-18
MALAT1,1.2452492982403671e-50,ACRV1,1.0213425068049159e-61,FAM209A,6.323144625826668e-73,MGC4859,1.3557281242250218e-35,MORN5,2.3858431621376186e-31,SPATA8,3.2951345253233786e-65,GPC6,3.4442063974315194e-21,ZEB2,4.8977918303460574e-11,REEP1,1.372752846155166e-18
HMGB1,2.1502833270726867e-48,H2AC19,2.164461743206143e-61,SMKR1,2.681107006095845e-72,ANKRD30A,5.628683906738315e-35,LOC101926934,2.0843799113544844e-30,CYP19A1,6.895136178340007e-63,TENM3,5.1491787781011096e-21,CCN5,5.875019269921889e-11,TBX22,4.196935279788187e-18
SOX4,1.2556957723292073e-46,LOC105370167,6.463678523894154e-59,LINC00265,2.051110986002731e-71,C14orf39,2.1383421770648182e-34,SAXO2,3.281659406180402e-30,PSENEN,3.719060990578965e-62,SEMA6D,1.4572057777599257e-20,ACTB,5.877233611098127e-11,B3GALT1,5.79691069880293e-18
LOC105374655,8.805818033831043e-47,LOC102723968,2.9764304018790888e-59,DNAJB3,7.245952302267507e-72,TTC28,2.506354587335169e-34,ATP5IF1,1.1101053240470502e-30,DPY19L2,1.0528912684586507e-62,SLC25A21,3.0512180397567724e-20,BNC2,7.378330438108716e-11,SGIP1,9.014579864178536e-18
IGF1R,3.60808395456331e-46,LINC01492,4.729135678704528e-59,IRGC,3.1109342020789118e-71,SCMH1,2.1966013499664487e-33,LINC01970,4.978812276175623e-30,COX7B2,3.791840346843838e-62,LTBP1,2.850627568045623e-20,TMSB10,9.586783237947971e-11,KMT2C,8.017470435069055e-18
