Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
AUTS2,2.0564310348262798e-141,CNBD1,2.438843130921912e-299,PRM2,0.0,LINC00917,0.0,MALAT1,2.2470450834581163e-279,AGBL4,0.0,ANKRD20A4-ANKRD20A20P,0.0,GPC5,0.0,MTUS2,0.0
PTMA,1.3753115906143647e-135,NLRP1,1.8021070074398795e-264,HMGB4,0.0,CCDC91,0.0,NEAT1,2.6758483530857123e-157,LOC100506207,0.0,DPY19L2,0.0,SYNE2,0.0,CALN1,0.0
amplicon-chrX-GAGE10/1/2A/13/12B/12C/12D/12E/12F/12G/12H/12J,2.3840244417935766e-135,RBAKDN,1.5000122348091038e-240,PRM1,0.0,FAM186A,0.0,RBMS3,8.104187675234831e-106,TTC28,0.0,STRBP,3.68534330144045e-310,ERBB4,0.0,PARD3,0.0
SMYD3,1.7670616244195047e-92,OBSL1,6.116517562160478e-234,SCP2D1,0.0,LINC01492,0.0,IGFBP7,4.516459548553607e-105,HORMAD1,0.0,ANKRD30B,1.3090362161227986e-291,ZBTB20,0.0,NLGN1,0.0
CALN1,3.280148809826089e-87,RBAK-RBAKDN,7.627534624165478e-231,DNAJB7,0.0,MGAT4C,0.0,B2M,3.835151788336855e-93,LINC01572,0.0,ANKRD20A1,7.476576689682568e-276,CADM1,2.2031350876e-312,LTBP1,0.0
amplicon-chrX-SSX1/2/2B/344B/5/7,2.185843192470649e-82,TSBP1,1.237513407384974e-217,TNP1,0.0,GOLGA6L7,0.0,FTL,1.1515674010600661e-84,CCDC144A,0.0,C1QTNF3,2.3257958396430137e-276,MTRNR2L8,4.887697612185701e-304,GRIP1,0.0
SPIDR,3.08954813703552e-81,LRRIQ1,6.500581108922736e-206,GTSF1L,0.0,LRRTM3,0.0,PTGDS,2.744787889630028e-84,SCMH1,0.0,MGAT4D,3.192047197651093e-270,NEAT1,4.052566072500307e-307,NALF1,6.1785489e-316
RPS2,3.646291701788369e-77,COX7A2,6.79718424660247e-204,LOC100996249,0.0,PLCZ1,0.0,TMSB4X,2.5408351827278913e-83,ATRNL1,0.0,CCDC144A,2.3257958396430137e-276,CARMIL1,2.53881574615026e-296,BMPR1B,3.251961104525394e-300
NASP,5.560793374861458e-69,LINC01500,1.2139653685843703e-202,SIRT2,0.0,STXBP5-AS1,0.0,FTX,3.1270950922675694e-79,SYCP1,0.0,LINC01206,6.948163875154772e-266,SYNE1,1.852280456305245e-292,AFF3,3.0231011984769804e-297
GAGE12B,1.4001874551496591e-67,C4orf47,1.2991421409481764e-198,TMEM191C,0.0,GOLGA6L2,8.3478e-319,TSHZ2,1.5207092399234505e-78,DMRTC2,1.766175e-317,ADAM2,3.114549837752953e-259,ARL15,5.137947353787773e-273,SEMA6D,5.418193778738355e-276
CIRBP,1.019588033093391e-67,MAST4,1.14690454266774e-194,LINC00265,0.0,LINC02842,5.52042e-318,DCN,1.3128566298951296e-74,TEX101,1.327009112424e-312,ADD3-AS1,4.335997288705743e-252,MIR924HG,3.3031545809568037e-271,KLF12,1.3075335030838668e-272
GMDS,1.0364246941972823e-66,LRBA,6.899399192659378e-195,FAM229A,0.0,COL25A1,3.807458818526527e-301,MT2A,5.470221834667995e-73,DZIP3,1.9089125e-316,TRIM74,4.2604109509409043e-255,FAM153A,4.1567903143829407e-258,FOXP1,1.3715358468967685e-273
