Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,Macrophage_N,Macrophage_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
AUTS2,0.0,CNBD1,0.0,FAM229A,0.0,PLCZ1,0.0,MALAT1,0.0,TTC28,0.0,DPY19L2,0.0,ERBB4,0.0,PARD3,0.0
STAG1,0.0,LRRIQ1,0.0,C20orf144,0.0,CCSER1,0.0,NEAT1,5.868770674533387e-181,HORMAD1,0.0,ANKRD62,0.0,GPC5,0.0,NALF1,0.0
UBE2E2,1.2581750554855019e-291,TTC29,0.0,CCDC168,0.0,CCDC91,0.0,IGFBP7,2.5721206213829326e-149,LOC105373554,0.0,STRBP,0.0,ZBTB20,0.0,NRG3,0.0
HELLS,2.042719246672653e-289,MAPK10,0.0,HMGB4,0.0,STXBP5-AS1,0.0,RBMS3,2.1681606896709907e-145,ATRNL1,0.0,CRB1,0.0,CARMIL1,0.0,MTUS2,0.0
JMJD1C,1.3622520834463353e-286,PACRG,0.0,PRM2,0.0,COL25A1,0.0,TSHZ2,1.25100031841004e-140,AGBL4,0.0,C1QTNF3,0.0,SYNE2,0.0,CALN1,0.0
amplicon-chrX-GAGE10/1/2A/13/12B/12C/12D/12E/12F/12G/12H/12J,7.708634768621003e-283,SPAG16,0.0,LOC730098,0.0,SLC44A5,0.0,FTX,9.39620860178149e-133,SCMH1,0.0,ANKRD30A,0.0,ARL15,0.0,NLGN1,0.0
SPIDR,6.461890100237469e-284,KCNT2,0.0,SIRT2,0.0,IQCM,0.0,LINC-PINT,2.554280760663932e-121,ANKRD30A,0.0,ANKRD20A1,0.0,BBX,0.0,KLF12,0.0
IL1RAPL1,7.574257149743804e-256,LOC105372004,0.0,PPP2R2B,0.0,MGAT4C,0.0,BNC2,3.8263145177045546e-119,LOC100506207,0.0,CCDC38,0.0,SYNE1,0.0,BMPR1B,0.0
SMC1B,1.4528363462336635e-256,LINC01500,0.0,PRM1,0.0,LINC00917,0.0,MIR99AHG,7.3738538461095605e-118,SETX,0.0,AP4B1-AS1,0.0,CADM1,0.0,AFF3,0.0
RERE,3.0669887669054716e-255,LOC101929492,0.0,FAM209A,0.0,LINC01492,0.0,B2M,4.221312140597666e-108,SYCP2,0.0,ANKRD30B,0.0,DIAPH2,0.0,SEMA6D,0.0
